Alanyl-tRNA synthetases (EC 6.1.1.7)
Class: II
3D known: Yes

SYA1_LACP7  (A9KMW7)    , SYA2_LACP7  (A9KLZ5)    , SYAC_BOMMO  (P21894)    ,
SYA_WOLSU   (Q7MAD3)    , SYA_WOLTR   (Q5GSS5)    , SYA_XANAC   (Q8PLQ0)    ,
SYA_XANC5   (Q3BUQ7)    , SYA_XANC8   (Q4UTR6)    , SYA_XANCB   (B0RTY1)    ,
SYA_XANCP   (Q8P9X0)    , SYA_XANOM   (Q2P1N1)    , SYA_XANOP   (B2SUD0)    ,
SYA_XANOR   (Q5GYM8)    , SYA_XANP2   (A7IMR0)    , SYA_XYLF2   (B2I6K2)    ,
SYA_XYLFA   (Q9PH22)    , SYA_XYLFM   (B0U1K9)    , SYA_XYLFT   (Q87F43)    ,
SYA_YEAST   (P40825)    , SYA_YERE8   (A1JK09)    , SYA_YERP3   (A7FLR7)    ,
SYA_YERPA   (Q1C420)    , SYA_YERPB   (B2K5X9)    , SYA_YERPE   (Q8ZBT8)    ,
SYA_YERPG   (A9R0V7)    , SYA_YERPN   (Q1CLK9)    , SYA_YERPP   (A4TQ52)    ,
SYA_YERPS   (Q66E68)    , SYA_YERPY   (B1JJA0)    , SYA_ZYMMO   (Q9RNN8)    

-----------------------------------------------------------------------

Cysteinyl-tRNA synthetases (EC 6.1.1.16)
Class: I
3D known: Yes

CPS11_ORYSJ (Q0IZQ2)    , CPS1_MAIZE  (A0A1D6LAG9), SYC1_BURL3  (Q39A07)    ,
SYC1_PHOPR  (Q6LT67)    , SYC1_TROW8  (Q83HS8)    , SYC1_TROWT  (Q83GF1)    ,
SYC2_BURL3  (Q39EY8)    , SYC2_PHOPR  (Q6LHY2)    , SYC2_TROW8  (Q83HQ8)    ,
SYC2_TROWT  (Q83GH3)    , SYCC1_ARATH (Q9LYL3)    , SYCC2_ARATH (B3LFA4)    ,
SYCC_CHICK  (Q5F408)    , SYCC_DICDI  (Q54KR1)    , SYCC_DROME  (Q7KN90)    ,
SYCC_DROPS  (Q291L4)    , SYCC_HUMAN  (P49589)    , SYCC_MACFA  (Q4R550)    ,
SYCC_MOUSE  (Q9ER72)    , SYCC_XENLA  (Q7ZWR2)    , SYCC_XENTR  (Q5M7N8)    ,
SYCM_ARATH  (F4IPY2)    , SYCM_BOVIN  (Q2KIF8)    , SYCM_DICDI  (Q54ZY3)    ,
SYCM_HUMAN  (Q9HA77)    , SYCM_MOUSE  (Q8BYM8)    , SYCM_XENLA  (Q6PA41)    ,
SYCM_XENTR  (Q6DJ95)    , SYC_ACET2   (A3DH43)    , SYC_ACHLI   (A9NEI9)    ,
SYC_ACIAD   (Q6FC71)    , SYC_ACIB3   (B7GWA1)    , SYC_ACIB5   (B7IBU3)    ,
SYC_ACIBC   (B2HX34)    , SYC_ACIBS   (B0VS71)    , SYC_ACIBT   (A3M419)    ,
SYC_ACIBY   (B0VAU1)    , SYC_ACIC1   (A0LQZ8)    , SYC_ACICJ   (A5FYD2)    ,
SYC_ACIET   (B9MAU5)    , SYC_ACISJ   (A1W6E1)    , SYC_ACTP2   (A3N0S3)    ,
SYC_ACTP7   (B3GXR0)    , SYC_ACTPJ   (B0BPJ8)    , SYC_ACTSZ   (A6VQ79)    ,
SYC_AERPE   (Q9YBK6)    , SYC_AFIC5   (B6JHT8)    , SYC_AGRFC   (Q8UGG4)    ,
SYC_ALBFT   (Q21YS0)    , SYC_ALCBS   (Q0VML5)    , SYC_ALIB4   (A8ERE6)    ,
SYC_ALIF1   (Q5E4F1)    , SYC_ALISL   (B6EH43)    , SYC_ALKEH   (Q0A7N3)    ,
SYC_ALKMQ   (A6TWK5)    , SYC_ALKOO   (A8MLB7)    , SYC_ANAD2   (B8JDH1)    ,
SYC_ANADE   (Q2IQG7)    , SYC_ANADF   (A7HDA1)    , SYC_ANAMM   (Q5PB14)    ,
SYC_ANAPZ   (Q2GKF4)    , SYC_ANASK   (B4UGC3)    , SYC_ANOFW   (B7GJ46)    ,
SYC_AQUAE   (O67163)    , SYC_ARCFU   (O29836)    , SYC_AROAE   (Q5P1H8)    ,
SYC_ARTS2   (A0JSV8)    , SYC_AYWBP   (Q2NIP7)    , SYC_AZOBR   (O07045)    ,
SYC_AZOC5   (A8I4X6)    , SYC_AZOPC   (B6YQU1)    , SYC_AZOVD   (C1DHE6)    ,
SYC_BACAA   (C3P9N5)    , SYC_BACAC   (C3LJ62)    , SYC_BACAH   (A0R8G1)    ,
SYC_BACAN   (Q81VV1)    , SYC_BACC0   (B7JK97)    , SYC_BACC1   (Q73FB7)    ,
SYC_BACC2   (B7ISZ9)    , SYC_BACC3   (C1ET19)    , SYC_BACC4   (B7HJ28)    ,
SYC_BACC7   (B7HQS4)    , SYC_BACCN   (A7GK01)    , SYC_BACCQ   (B9IZH4)    ,
SYC_BACCR   (Q81J59)    , SYC_BACCZ   (Q63HB0)    , SYC_BACFN   (Q5LIT7)    ,
SYC_BACFR   (Q64ZY1)    , SYC_BACHK   (Q6HPS8)    , SYC_BACLD   (Q65PC8)    ,
SYC_BACMK   (A9VNA2)    , SYC_BACP2   (A8F962)    , SYC_BACSU   (Q06752)    ,
SYC_BACTN   (Q8A2F4)    , SYC_BACVZ   (A7Z0L6)    , SYC_BARBK   (A1US43)    ,
SYC_BARHE   (Q6G5G9)    , SYC_BARQU   (Q6G073)    , SYC_BART1   (A9IRQ9)    ,
SYC_BAUCH   (Q1LTX2)    , SYC_BDEBA   (Q6MKR7)    , SYC_BEII9   (B2IEE1)    ,
SYC_BEUC1   (C5BYT3)    , SYC_BIFLO   (Q8G7G5)    , SYC_BLOFL   (Q7VRB4)    ,
SYC_BLOPB   (Q493A1)    , SYC_BORA1   (Q2KX38)    , SYC_BORAP   (Q0SMQ8)    ,
SYC_BORBR   (Q7WLL0)    , SYC_BORBU   (O51545)    , SYC_BORBZ   (B7J2G1)    ,
SYC_BORGP   (Q660S3)    , SYC_BORHD   (B2S0U7)    , SYC_BORPA   (Q7W862)    ,
SYC_BORPE   (Q7VX96)    , SYC_BORT9   (A1R030)    , SYC_BRADU   (Q89NP8)    ,
SYC_BRAHW   (C0R1J9)    , SYC_BRASB   (A5EHE7)    , SYC_BREBN   (C0ZIF7)    ,
SYC_BRUA1   (B2S4T7)    , SYC_BRUA2   (Q2YN22)    , SYC_BRUA4   (A6X270)    ,
SYC_BRUAB   (Q57E65)    , SYC_BRUC2   (A9MA50)    , SYC_BRUMB   (C0RI19)    ,
SYC_BRUME   (Q8YG89)    , SYC_BRUO2   (A5VPL3)    , SYC_BRUSI   (B0CL02)    ,
SYC_BRUSU   (Q8G1N5)    , SYC_BUCA5   (B8D9R3)    , SYC_BUCAI   (P57558)    ,
SYC_BUCAP   (P46241)    , SYC_BUCAT   (B8D815)    , SYC_BUCBP   (P59421)    ,
SYC_BUCCC   (Q057D6)    , SYC_BURA4   (B1YSM8)    , SYC_BURCH   (A0K8K2)    ,
SYC_BURCJ   (B4ED73)    , SYC_BURCM   (Q0BDV4)    , SYC_BURM1   (A9AHN6)    ,
SYC_BURM7   (A3ML43)    , SYC_BURM9   (A2SAX8)    , SYC_BURMA   (Q62J37)    ,
SYC_BURMS   (A1V5G8)    , SYC_BURO0   (B1JUK8)    , SYC_BURO1   (Q1BHP1)    ,
SYC_BURP0   (A3NWX8)    , SYC_BURP1   (Q3JQT6)    , SYC_BURP6   (A3NB50)    ,
SYC_BURPS   (Q63SS8)    , SYC_BURTA   (Q2SX78)    , SYC_BURVG   (A4JFD0)    ,
SYC_CALBD   (B9MMM6)    , SYC_CALS4   (Q8R7T3)    , SYC_CALS8   (A4XHE2)    ,
SYC_CAMC1   (A7ZDQ1)    , SYC_CAMC5   (A7GYB4)    , SYC_CAMFF   (A0RP30)    ,
SYC_CAMHC   (A7I0X6)    , SYC_CAMJ8   (A8FLL5)    , SYC_CAMJD   (A7H447)    ,
SYC_CAMJE   (Q9PPB8)    , SYC_CAMJJ   (A1VZF0)    , SYC_CAMJR   (Q5HUZ0)    ,
SYC_CAMLR   (B9KFX4)    , SYC_CARHZ   (Q3A9P1)    , SYC_CAUSK   (B0T101)    ,
SYC_CAUVC   (Q9AAY2)    , SYC_CAUVN   (B8GZS3)    , SYC_CERS1   (A3PJH4)    ,
SYC_CERS4   (Q3J2V7)    , SYC_CERS5   (A4WU98)    , SYC_CERSK   (B9KRV8)    ,
SYC_CHESB   (Q11JR3)    , SYC_CHLAB   (Q5L546)    , SYC_CHLCH   (Q3APK6)    ,
SYC_CHLCV   (Q821U7)    , SYC_CHLFF   (Q255U1)    , SYC_CHLL3   (Q3B6D2)    ,
SYC_CHLMU   (Q9PLE0)    , SYC_CHLPN   (Q9Z6X4)    , SYC_CHLTA   (Q3KKR0)    ,
SYC_CHLTE   (Q8KAK2)    , SYC_CHLTR   (O84787)    , SYC_CHRFK   (A0M500)    ,
SYC_CHRSD   (Q1QVV6)    , SYC_CHRVO   (Q7NX82)    , SYC_CITBB   (B5EEK6)    ,
SYC_CLAM3   (A5CTY3)    , SYC_CLAMS   (B0RAX1)    , SYC_CLOAB   (Q97ED6)    ,
SYC_CLOB1   (A7FZ91)    , SYC_CLOB6   (C3KVS3)    , SYC_CLOB8   (A6LPP1)    ,
SYC_CLOBA   (B2UY90)    , SYC_CLOBB   (B2TIF6)    , SYC_CLOBH   (A5I7M8)    ,
SYC_CLOBJ   (C1FMX3)    , SYC_CLOBK   (B1IGH6)    , SYC_CLOBL   (A7GJ96)    ,
SYC_CLOBM   (B1KTA5)    , SYC_CLOD6   (Q18CD5)    , SYC_CLOK1   (B9DY88)    ,
SYC_CLOK5   (A5N4M6)    , SYC_CLONN   (A0PXS5)    , SYC_CLOP1   (Q0TMM4)    ,
SYC_CLOPE   (Q8XHQ5)    , SYC_CLOPS   (Q0SQC1)    , SYC_CLOTE   (Q890M4)    ,
SYC_COLP3   (Q47XL5)    , SYC_CORDI   (Q6NFC3)    , SYC_COREF   (Q8FMI8)    ,
SYC_CORGB   (A4QH41)    , SYC_CORGL   (Q8NMD7)    , SYC_CORJK   (Q4JXJ2)    ,
SYC_CORK4   (C4LH17)    , SYC_COXBN   (A9KBJ2)    , SYC_COXBR   (A9N924)    ,
SYC_COXBU   (Q83BL7)    , SYC_CROS8   (A7MK00)    , SYC_CUPNH   (Q0KCA9)    ,
SYC_CUPPJ   (Q473D3)    , SYC_CUPTR   (B3R4D1)    , SYC_CUTAK   (Q6AAT0)    ,
SYC_CYAP4   (B8HQA4)    , SYC_CYTH3   (Q11PK9)    , SYC_DECAR   (Q47HK6)    ,
SYC_DEHM1   (Q3ZAD5)    , SYC_DEHMB   (A5FP90)    , SYC_DEHMC   (Q3ZWG4)    ,
SYC_DEIGD   (Q1IXM5)    , SYC_DEIRA   (Q9RTT6)    , SYC_DELAS   (A9BZ45)    ,
SYC_DESAP   (B1I0T1)    , SYC_DESDA   (B8J0S2)    , SYC_DESHD   (B8G1U2)    ,
SYC_DESHY   (Q250Q6)    , SYC_DESPS   (Q6AJ23)    , SYC_DESRM   (A4J0Y9)    ,
SYC_DESVH   (Q72BQ5)    , SYC_DESVM   (B8DKL0)    , SYC_DESVV   (A1VDQ5)    ,
SYC_DICNV   (A5EWG6)    , SYC_DICT6   (B5YAD0)    , SYC_DICTD   (B8E391)    ,
SYC_DINSH   (A8LLR2)    , SYC_ECO24   (A7ZIT5)    , SYC_ECO27   (B7UKK3)    ,
SYC_ECO45   (B7ME49)    , SYC_ECO55   (B7L7F3)    , SYC_ECO57   (Q8XCT9)    ,
SYC_ECO5E   (B5YPP1)    , SYC_ECO7I   (B7NL20)    , SYC_ECO81   (B7MRI9)    ,
SYC_ECO8A   (B7M4M9)    , SYC_ECOBW   (C4ZUX4)    , SYC_ECODH   (B1XGC4)    ,
SYC_ECOHS   (A7ZXI1)    , SYC_ECOK1   (A1A8J2)    , SYC_ECOL5   (Q0TKB5)    ,
SYC_ECOL6   (Q8FK44)    , SYC_ECOLC   (B1IZ75)    , SYC_ECOLI   (P21888)    ,
SYC_ECOLU   (B7N980)    , SYC_ECOSE   (B6I0H1)    , SYC_ECOSM   (B1LKE5)    ,
SYC_ECOUT   (Q1RF08)    , SYC_EDWI9   (C5B8V6)    , SYC_EHRCJ   (Q3YSF3)    ,
SYC_EHRCR   (Q2GG67)    , SYC_EHRRG   (Q5FHI9)    , SYC_EHRRW   (Q5HBK5)    ,
SYC_ENCCU   (Q8SRE0)    , SYC_ENDTX   (B1GYT2)    , SYC_ENT38   (A4W7I4)    ,
SYC_ENTFA   (Q839V5)    , SYC_ERWT9   (B2VBD5)    , SYC_ESCF3   (B7LJI4)    ,
SYC_EXIS2   (B1YGS9)    , SYC_EXISA   (C4KZR7)    , SYC_FERNB   (A7HKV1)    ,
SYC_FINM2   (B0S0W3)    , SYC_FLAJ1   (A5FHM5)    , SYC_FLAPJ   (A6GX80)    ,
SYC_FRACC   (Q2J545)    , SYC_FRAP2   (B0U0I3)    , SYC_FRAT1   (Q14G14)    ,
SYC_FRATF   (A7NE53)    , SYC_FRATH   (Q2A1T7)    , SYC_FRATM   (B2SFH9)    ,
SYC_FRATN   (A0Q4Q1)    , SYC_FRATO   (Q0BKI3)    , SYC_FRATT   (Q5NEL1)    ,
SYC_FRATW   (A4IWF2)    , SYC_FUSNN   (Q8RIK9)    , SYC_GEODF   (B9LZV4)    ,
SYC_GEOKA   (Q5L429)    , SYC_GEOMG   (Q39ZL8)    , SYC_GEOSL   (Q747A2)    ,
SYC_GEOSM   (C6E7P0)    , SYC_GEOSW   (C5D3P6)    , SYC_GEOTN   (A4IJG8)    ,
SYC_GEOUR   (A5G949)    , SYC_GLAP5   (B8F392)    , SYC_GLOC7   (B7K7T8)    ,
SYC_GLOVI   (Q7NMB5)    , SYC_GLUOX   (Q5FQ31)    , SYC_GRABC   (Q0BT18)    ,
SYC_HAEDU   (Q7VMA0)    , SYC_HAEI8   (Q4QPG7)    , SYC_HAEIG   (A5UFP3)    ,
SYC_HAEIN   (P43816)    , SYC_HAHCH   (Q2SK40)    , SYC_HALH5   (Q9KGF4)    ,
SYC_HALHL   (A1WT89)    , SYC_HALMA   (Q5V2M3)    , SYC_HALSA   (Q9HQL9)    ,
SYC_HAMD5   (C4K6G8)    , SYC_HELAH   (Q17WH3)    , SYC_HELHP   (Q7VIT7)    ,
SYC_HELMI   (B0TC35)    , SYC_HELP2   (B6JMA7)    , SYC_HELPG   (B5Z7P5)    ,
SYC_HELPH   (Q1CSY9)    , SYC_HELPJ   (Q9ZKW6)    , SYC_HELPS   (B2UU37)    ,
SYC_HELPY   (P41259)    , SYC_HERAR   (A4G4M2)    , SYC_HISS1   (Q0I1Q1)    ,
SYC_HISS2   (B0UVH6)    , SYC_HYDCU   (Q31H54)    , SYC_HYDS0   (B4U9I4)    ,
SYC_HYPNA   (Q0BXB7)    , SYC_IDILO   (Q5QYP3)    , SYC_IGNH4   (A8AB68)    ,
SYC_JANMA   (A6SZV1)    , SYC_JANSC   (Q28QY7)    , SYC_KINRD   (A6W6G0)    ,
SYC_KLEP3   (B5Y0K6)    , SYC_KLEP7   (A6T5R2)    , SYC_KOCRD   (B2GFS8)    ,
SYC_KORVE   (Q1IJF8)    , SYC_LACAC   (Q5FM34)    , SYC_LACCB   (B3WA35)    ,
SYC_LACDA   (Q1G8Z0)    , SYC_LACDB   (Q048S9)    , SYC_LACE2   (C4Z3N5)    ,
SYC_LACGA   (Q045X8)    , SYC_LACH4   (A8YTD3)    , SYC_LACJO   (Q74L26)    ,
SYC_LACLA   (Q9CEJ0)    , SYC_LACLM   (A2RMS1)    , SYC_LACLS   (Q02WZ9)    ,
SYC_LACP3   (Q035S0)    , SYC_LACP7   (A9KSM5)    , SYC_LACPL   (Q88YX9)    ,
SYC_LARHH   (C1D7F5)    , SYC_LATSS   (Q38UZ6)    , SYC_LAWIP   (Q1MQR5)    ,
SYC_LEGPA   (Q5X5P9)    , SYC_LEGPC   (A5IBG0)    , SYC_LEGPH   (Q5ZVY1)    ,
SYC_LEGPL   (Q5WX29)    , SYC_LEIXX   (Q6ADI1)    , SYC_LEPBJ   (Q04SB0)    ,
SYC_LEPBL   (Q050D6)    , SYC_LEPIC   (Q72QT1)    , SYC_LEPIN   (Q8F525)    ,
SYC_LEUCK   (B1MW68)    , SYC_LEUMM   (Q03ZR0)    , SYC_LEVBA   (Q03SU6)    ,
SYC_LIGS1   (Q1WSS5)    , SYC_LIMF3   (B2GAB5)    , SYC_LIMRD   (A5VI99)    ,
SYC_LIMRJ   (B2G5S5)    , SYC_LISIN   (Q92F36)    , SYC_LISMC   (C1KYH2)    ,
SYC_LISMF   (Q724H3)    , SYC_LISMH   (B8DF15)    , SYC_LISMO   (Q8YAB1)    ,
SYC_LISW6   (A0AF38)    , SYC_LYSSC   (B1HNM3)    , SYC_MAGMM   (A0L4P8)    ,
SYC_MAGSA   (Q2W7Y5)    , SYC_MALP2   (Q8EX28)    , SYC_MANSM   (Q65UY1)    ,
SYC_MARMM   (Q0AM03)    , SYC_MARMS   (A6VX53)    , SYC_MARN8   (A1U1Q7)    ,
SYC_MARSD   (C6BS23)    , SYC_MESFL   (Q6F230)    , SYC_MESH2   (Q5ZZP6)    ,
SYC_MESH7   (Q4A786)    , SYC_MESHJ   (Q4A947)    , SYC_MESM1   (Q6KIE2)    ,
SYC_META3   (A6UWT0)    , SYC_METAC   (Q8TSP6)    , SYC_METBF   (Q46BZ5)    ,
SYC_METCA   (Q60BG8)    , SYC_METFK   (Q1H417)    , SYC_METM6   (A9AAN8)    ,
SYC_METM7   (A6VG07)    , SYC_METMA   (Q8PVQ1)    , SYC_METMP   (Q6LYD1)    ,
SYC_METPP   (A2SIM2)    , SYC_METS5   (A4YIG5)    , SYC_METSB   (B8EMY2)    ,
SYC_METVS   (A6UP68)    , SYC_MICAN   (B0JJL5)    , SYC_MICLC   (C5C8X5)    ,
SYC_MIMIV   (Q5UP36)    , SYC_MOOTA   (Q2RFM3)    , SYC_MYCA1   (A0QAB5)    ,
SYC_MYCBO   (P0A635)    , SYC_MYCBP   (A1KPR6)    , SYC_MYCBT   (C1AI39)    ,
SYC_MYCCT   (Q2ST11)    , SYC_MYCGA   (Q7NAH7)    , SYC_MYCGE   (P47495)    ,
SYC_MYCGI   (A4T5K9)    , SYC_MYCLB   (B8ZUA9)    , SYC_MYCLE   (P57990)    ,
SYC_MYCMM   (B2HJ21)    , SYC_MYCMS   (Q6MS23)    , SYC_MYCPA   (Q743W3)    ,
SYC_MYCPN   (P75423)    , SYC_MYCPU   (Q98R33)    , SYC_MYCS2   (A0R558)    ,
SYC_MYCSJ   (A3Q6W0)    , SYC_MYCSK   (A1UMF5)    , SYC_MYCSS   (Q1B2P3)    ,
SYC_MYCTA   (A5U8Q5)    , SYC_MYCTO   (P9WFW0)    , SYC_MYCTU   (P9WFW1)    ,
SYC_MYCUA   (A0PV27)    , SYC_MYCVP   (A1TG09)    , SYC_NANEQ   (Q74MI1)    ,
SYC_NEIG1   (Q5F5D6)    , SYC_NEIMA   (Q9JWJ3)    , SYC_NEIMB   (Q9JXE6)    ,
SYC_NEOSM   (Q2GE74)    , SYC_NITEC   (Q0AJJ4)    , SYC_NITEU   (Q82Y45)    ,
SYC_NITHX   (Q1QN87)    , SYC_NITMU   (Q2Y7U5)    , SYC_NITOC   (Q3J8Y9)    ,
SYC_NITSB   (A6Q401)    , SYC_NITWN   (Q3STA1)    , SYC_NOCFA   (Q5Z2R1)    ,
SYC_NOCSJ   (A1SNY3)    , SYC_NOSS1   (Q8YXW5)    , SYC_NOVAD   (Q2G5Q6)    ,
SYC_OCEIH   (Q8ETZ9)    , SYC_OENOB   (Q04DQ8)    , SYC_OLEA2   (Q30ZH8)    ,
SYC_ONYPE   (Q6YR75)    , SYC_OPITP   (B1ZSX8)    , SYC_ORITB   (A5CFB8)    ,
SYC_ORITI   (B3CRX9)    , SYC_PAEAT   (A1R383)    , SYC_PARC0   (A1TPK8)    ,
SYC_PARD8   (A6LFT6)    , SYC_PARDP   (A1B9D5)    , SYC_PARL1   (A7HWJ0)    ,
SYC_PARMW   (Q7U8C0)    , SYC_PARUW   (Q6MBU0)    , SYC_PARXL   (Q13X60)    ,
SYC_PASMU   (P57890)    , SYC_PECAS   (Q6D2E4)    , SYC_PECCP   (C6DAX2)    ,
SYC_PEDPA   (Q03E41)    , SYC_PELPD   (A1AK01)    , SYC_PELTS   (A5D5M0)    ,
SYC_PELUB   (Q4FLI7)    , SYC_PERMH   (C0QRE6)    , SYC_PETMO   (A9BGT9)    ,
SYC_PHEZH   (B4RE90)    , SYC_PHOLL   (Q7N0S5)    , SYC_PHOV8   (A6KZ38)    ,
SYC_POLAQ   (A4SX62)    , SYC_POLNA   (A1VRB4)    , SYC_POLNS   (B1XUY8)    ,
SYC_POLSJ   (Q129L2)    , SYC_PORGI   (Q7MTR6)    , SYC_PROM0   (A3PDX8)    ,
SYC_PROM1   (A2C3T6)    , SYC_PROM2   (A8G5S9)    , SYC_PROM3   (A2C808)    ,
SYC_PROM5   (A2BXK1)    , SYC_PROM9   (Q319Z9)    , SYC_PROMA   (Q7VB63)    ,
SYC_PROMH   (B4F1M6)    , SYC_PROMM   (Q7V6K0)    , SYC_PROMP   (Q7V0W1)    ,
SYC_PROMS   (A2BS39)    , SYC_PROMT   (Q46JT8)    , SYC_PSE14   (Q48L06)    ,
SYC_PSEA7   (A6V727)    , SYC_PSEA8   (B7VB84)    , SYC_PSEAB   (Q02KT6)    ,
SYC_PSEAE   (Q9I2U7)    , SYC_PSECP   (B8HCR7)    , SYC_PSEE4   (Q1IBP9)    ,
SYC_PSEF5   (Q4K9S1)    , SYC_PSEFS   (C3JYD3)    , SYC_PSELT   (A8F596)    ,
SYC_PSEMY   (A4XVG1)    , SYC_PSEP1   (A5W458)    , SYC_PSEPF   (Q3KA28)    ,
SYC_PSEPG   (B0KUU0)    , SYC_PSEPK   (Q88IU4)    , SYC_PSEPW   (B1J805)    ,
SYC_PSESM   (Q87YQ2)    , SYC_PSET1   (Q3IF51)    , SYC_PSEU2   (Q4ZVN9)    ,
SYC_PSYA2   (Q4FRZ9)    , SYC_PSYCK   (Q1QC19)    , SYC_PSYWF   (A5WEW9)    ,
SYC_PYRAB   (Q9UYV2)    , SYC_PYRAE   (Q8ZYD8)    , SYC_PYRAR   (A4WH15)    ,
SYC_PYRCJ   (A3MS54)    , SYC_PYRFU   (Q8U227)    , SYC_PYRHO   (O58370)    ,
SYC_PYRIL   (A1RTJ7)    , SYC_PYRNV   (B1YA45)    , SYC_RALN1   (Q8Y077)    ,
SYC_RALPJ   (B2U9P8)    , SYC_RENSM   (A9WLY4)    , SYC_RHIE6   (B3PUS4)    ,
SYC_RHIEC   (Q2KAA8)    , SYC_RHIJ3   (Q1MJ22)    , SYC_RHILO   (Q984X8)    ,
SYC_RHILW   (B5ZWB3)    , SYC_RHIME   (Q92R20)    , SYC_RHIR8   (B9JCA5)    ,
SYC_RHOBA   (Q7US70)    , SYC_RHOCS   (B6ISG4)    , SYC_RHOJR   (Q0S888)    ,
SYC_RHOOB   (C1BAC4)    , SYC_RHOP2   (Q2IUP0)    , SYC_RHOP5   (Q07Q42)    ,
SYC_RHOPA   (Q6N8A7)    , SYC_RHOPB   (Q216P6)    , SYC_RHOPS   (Q139D9)    ,
SYC_RHOPT   (B3QCS4)    , SYC_RHORT   (Q2RWK2)    , SYC_RICAE   (C3PMC1)    ,
SYC_RICAH   (A8GM31)    , SYC_RICB8   (A8GUK2)    , SYC_RICBR   (Q1RH02)    ,
SYC_RICCK   (A8EXE9)    , SYC_RICCN   (Q92JF6)    , SYC_RICFE   (Q4UND9)    ,
SYC_RICM5   (A8F0I8)    , SYC_RICPR   (Q9ZE62)    , SYC_RICPU   (C4K199)    ,
SYC_RICRO   (B0BW37)    , SYC_RICRS   (A8GQP6)    , SYC_RICTY   (Q68XV4)    ,
SYC_RIPO1   (B7JUH4)    , SYC_ROSDO   (Q164A4)    , SYC_RUBXD   (Q1AU11)    ,
SYC_RUEPO   (Q5LRJ6)    , SYC_RUEST   (Q1GHI0)    , SYC_SACD2   (Q21JG6)    ,
SYC_SACEN   (A4F6W7)    , SYC_SACS2   (Q97WE6)    , SYC_SALA4   (B5EYD7)    ,
SYC_SALAR   (A9MLA7)    , SYC_SALCH   (Q57S29)    , SYC_SALDC   (B5FLP7)    ,
SYC_SALEP   (B5QUV0)    , SYC_SALG2   (B5R6X0)    , SYC_SALHS   (B4TA89)    ,
SYC_SALNS   (B4SXP2)    , SYC_SALPA   (Q5PCE2)    , SYC_SALPB   (A9MW31)    ,
SYC_SALPC   (C0PVI8)    , SYC_SALPK   (B5BCZ8)    , SYC_SALRD   (Q2S3T5)    ,
SYC_SALSV   (B4TN59)    , SYC_SALTI   (Q8Z8P6)    , SYC_SALTY   (Q8ZR68)    ,
SYC_SCHPO   (Q09860)    , SYC_SERP5   (A8GAY0)    , SYC_SHEAM   (A1S4X2)    ,
SYC_SHEB2   (B8E5F2)    , SYC_SHEB5   (A3D302)    , SYC_SHEB8   (A6WLP8)    ,
SYC_SHEB9   (A9KWH4)    , SYC_SHEDO   (Q12L98)    , SYC_SHEFN   (Q07ZX5)    ,
SYC_SHEHH   (B0TLV2)    , SYC_SHELP   (A3QFX9)    , SYC_SHEON   (Q8EG22)    ,
SYC_SHEPA   (A8H617)    , SYC_SHEPC   (A4Y5H9)    , SYC_SHEPW   (B8CRG0)    ,
SYC_SHESA   (A0KYM2)    , SYC_SHESH   (A8FTH6)    , SYC_SHESM   (Q0HH98)    ,
SYC_SHESR   (Q0HTK4)    , SYC_SHESW   (A1RL92)    , SYC_SHEWM   (B1KLU0)    ,
SYC_SHIB3   (B2TTB3)    , SYC_SHIBS   (Q324Y3)    , SYC_SHIDS   (Q32JL0)    ,
SYC_SHIF8   (Q0T776)    , SYC_SHIFL   (Q83M27)    , SYC_SHISS   (Q3Z4P5)    ,
SYC_SHOC1   (Q5WLT3)    , SYC_SINMW   (A6U7D9)    , SYC_SODGM   (Q2NV45)    ,
SYC_SOLM1   (C4XSW5)    , SYC_SOLUE   (Q021Y7)    , SYC_STAA1   (A7WYU7)    ,
SYC_STAA2   (A6TZ06)    , SYC_STAA3   (Q2FJB0)    , SYC_STAA8   (Q2G2M6)    ,
SYC_STAA9   (A5IQ83)    , SYC_STAAB   (Q2YSD1)    , SYC_STAAC   (Q5HIE5)    ,
SYC_STAAE   (A6QEI2)    , SYC_STAAM   (Q932G0)    , SYC_STAAN   (Q99W73)    ,
SYC_STAAR   (Q6GJD9)    , SYC_STAAS   (Q6GBV8)    , SYC_STAAT   (A8YZM7)    ,
SYC_STAAW   (Q8NXY7)    , SYC_STACT   (B9DKW3)    , SYC_STAEQ   (Q5HRM3)    ,
SYC_STAES   (Q8CTU1)    , SYC_STAHJ   (Q4L3I9)    , SYC_STAMF   (A3DLW5)    ,
SYC_STAS1   (Q49V39)    , SYC_STAXY   (P77986)    , SYC_STRA1   (Q3K3G5)    ,
SYC_STRA3   (Q8E7F2)    , SYC_STRA5   (Q8E1Z4)    , SYC_STRAW   (Q82GD0)    ,
SYC_STRCO   (Q9L0Q6)    , SYC_STREM   (B4U570)    , SYC_STRGG   (B1VS94)    ,
SYC_STRMU   (Q8DWA9)    , SYC_STRP1   (Q99XZ9)    , SYC_STRP3   (P0DG32)    ,
SYC_STRP6   (Q5X9W5)    , SYC_STRP8   (Q8NZD1)    , SYC_STRPM   (Q48RA7)    ,
SYC_STRPN   (Q97S25)    , SYC_STRPQ   (P0DG33)    , SYC_STRR6   (Q8DQS8)    ,
SYC_STRT1   (Q5M1W6)    , SYC_STRT2   (Q5M6F6)    , SYC_STUS1   (A4VL73)    ,
